Na2O,MgO,Al2O3,SiO2,P2O5,K2O,CaO,MnO,Fe2O3,ZrO2,HfO2
3.17,3.17,39.68,39.68,1.59,3.17,4.76,1.59,3.17,0,0
3.03,3.03,37.88,37.88,3.03,3.03,6.06,3.03,3.03,0,0
1.59,3.17,39.68,39.68,3.17,1.59,7.94,1.59,1.59,0,0
3.15,1.57,39.37,39.37,1.57,3.15,7.87,3.15,0.79,0,0
1.56,3.12,39.06,39.06,1.56,3.12,6.25,3.12,3.12,0,0
3.08,3.08,38.46,38.46,1.54,3.08,6.15,3.08,3.08,0,0
2.94,2.94,36.76,44.12,1.47,2.94,4.41,1.47,2.94,0,0
1.55,1.55,38.76,46.51,1.55,3.1,3.1,3.1,0.78,0,0
1.55,1.55,38.76,46.51,3.1,1.55,4.65,1.55,0.78,0,0
2.82,2.82,35.21,42.25,2.82,2.82,5.63,2.82,2.82,0,0
1.47,2.94,36.76,44.12,2.94,1.47,7.35,1.47,1.47,0,0
3.03,1.52,37.88,45.45,1.52,1.52,6.06,1.52,1.52,0,0
2.92,1.46,36.5,43.8,1.46,2.92,7.3,2.92,0.73,0,0
1.45,2.9,36.23,43.48,1.45,2.9,5.8,2.9,2.9,0,0
3.03,1.52,37.88,45.45,1.52,1.52,3.03,3.03,3.03,0,0
2.86,2.86,35.71,42.86,1.43,2.86,5.71,2.86,2.86,0,0
2.63,2.63,39.47,39.47,2.63,2.63,5.26,2.63,2.63,0,0
2.67,2.67,40.0,40.0,1.33,2.67,5.33,2.67,2.67,0,0
2.74,2.74,34.25,47.95,1.37,2.74,4.11,1.37,2.74,0,0
1.44,1.44,35.97,50.36,1.44,2.88,2.88,2.88,0.72,0,0
1.44,1.44,35.97,50.36,2.88,1.44,4.32,1.44,0.72,0,0
2.63,2.63,32.89,46.05,2.63,2.63,5.26,2.63,2.63,0,0
1.37,2.74,34.25,47.95,2.74,1.37,6.85,1.37,1.37,0,0
2.82,1.41,35.21,49.3,1.41,1.41,5.63,1.41,1.41,0,0
2.72,1.36,34.01,47.62,1.36,2.72,6.8,2.72,0.68,0,0
1.35,2.7,33.78,47.3,1.35,2.7,5.41,2.7,2.7,0,0
2.82,1.41,35.21,49.3,1.41,1.41,2.82,2.82,2.82,0,0
2.67,2.67,33.33,46.67,1.33,2.67,5.33,2.67,2.67,0,0
2.56,2.56,38.46,44.87,1.28,2.56,3.85,1.28,2.56,0,0
2.47,2.47,37.04,43.21,2.47,2.47,4.94,2.47,2.47,0,0
1.28,2.56,38.46,44.87,2.56,1.28,6.41,1.28,1.28,0,0
2.63,1.32,39.47,46.05,1.32,1.32,5.26,1.32,1.32,0,0
2.55,1.27,38.22,44.59,1.27,2.55,6.37,2.55,0.64,0,0
1.27,2.53,37.97,44.3,1.27,2.53,5.06,2.53,2.53,0,0
2.63,1.32,39.47,46.05,1.32,1.32,2.63,2.63,2.63,0,0
2.5,2.5,37.5,43.75,1.25,2.5,5.0,2.5,2.5,0,0
2.56,2.56,32.05,51.28,1.28,2.56,3.85,1.28,2.56,0,0
1.34,1.34,33.56,53.69,1.34,2.68,2.68,2.68,0.67,0,0
1.34,1.34,33.56,53.69,2.68,1.34,4.03,1.34,0.67,0,0
2.47,2.47,30.86,49.38,2.47,2.47,4.94,2.47,2.47,0,0
1.28,2.56,32.05,51.28,2.56,1.28,6.41,1.28,1.28,0,0
2.63,1.32,32.89,52.63,1.32,1.32,5.26,1.32,1.32,0,0
2.55,1.27,31.85,50.96,1.27,2.55,6.37,2.55,0.64,0,0
1.27,2.53,31.65,50.63,1.27,2.53,5.06,2.53,2.53,0,0
2.63,1.32,32.89,52.63,1.32,1.32,2.63,2.63,2.63,0,0
2.5,2.5,31.25,50.0,1.25,2.5,5.0,2.5,2.5,0,0
2.41,2.41,36.14,48.19,1.2,2.41,3.61,1.2,2.41,0,0
1.26,1.26,37.74,50.31,2.52,1.26,3.77,1.26,0.63,0,0
2.33,2.33,34.88,46.51,2.33,2.33,4.65,2.33,2.33,0,0
1.2,2.41,36.14,48.19,2.41,1.2,6.02,1.2,1.2,0,0
2.47,1.23,37.04,49.38,1.23,1.23,4.94,1.23,1.23,0,0
2.4,1.2,35.93,47.9,1.2,2.4,5.99,2.4,0.6,0,0
1.19,2.38,35.71,47.62,1.19,2.38,4.76,2.38,2.38,0,0
2.47,1.23,37.04,49.38,1.23,1.23,2.47,2.47,2.47,0,0
2.35,2.35,35.29,47.06,1.18,2.35,4.71,2.35,2.35,0,0
2.27,2.27,39.77,45.45,1.14,2.27,3.41,1.14,2.27,0,0
2.2,2.2,38.46,43.96,2.2,2.2,4.4,2.2,2.2,0,0
1.14,2.27,39.77,45.45,2.27,1.14,5.68,1.14,1.14,0,0
2.26,1.13,39.55,45.2,1.13,2.26,5.65,2.26,0.56,0,0
1.12,2.25,39.33,44.94,1.12,2.25,4.49,2.25,2.25,0,0
2.22,2.22,38.89,44.44,1.11,2.22,4.44,2.22,2.22,0,0
2.41,2.41,30.12,54.22,1.2,2.41,3.61,1.2,2.41,0,0
1.26,1.26,31.45,56.6,1.26,2.52,2.52,2.52,0.63,0,0
1.26,1.26,31.45,56.6,2.52,1.26,3.77,1.26,0.63,0,0
2.33,2.33,29.07,52.33,2.33,2.33,4.65,2.33,2.33,0,0
1.2,2.41,30.12,54.22,2.41,1.2,6.02,1.2,1.2,0,0
2.47,1.23,30.86,55.56,1.23,1.23,4.94,1.23,1.23,0,0
2.4,1.2,29.94,53.89,1.2,2.4,5.99,2.4,0.6,0,0
1.19,2.38,29.76,53.57,1.19,2.38,4.76,2.38,2.38,0,0
2.47,1.23,30.86,55.56,1.23,1.23,2.47,2.47,2.47,0,0
2.35,2.35,29.41,52.94,1.18,2.35,4.71,2.35,2.35,0,0
2.27,2.27,34.09,51.14,1.14,2.27,3.41,1.14,2.27,0,0
1.18,1.18,35.5,53.25,2.37,1.18,3.55,1.18,0.59,0,0
2.2,2.2,32.97,49.45,2.2,2.2,4.4,2.2,2.2,0,0
1.14,2.27,34.09,51.14,2.27,1.14,5.68,1.14,1.14,0,0
2.33,1.16,34.88,52.33,1.16,1.16,4.65,1.16,1.16,0,0
2.26,1.13,33.9,50.85,1.13,2.26,5.65,2.26,0.56,0,0
1.12,2.25,33.71,50.56,1.12,2.25,4.49,2.25,2.25,0,0
2.33,1.16,34.88,52.33,1.16,1.16,2.33,2.33,2.33,0,0
2.22,2.22,33.33,50.0,1.11,2.22,4.44,2.22,2.22,0,0
2.15,2.15,37.63,48.39,1.08,2.15,3.23,1.08,2.15,0,0
2.08,2.08,36.46,46.88,2.08,2.08,4.17,2.08,2.08,0,0
1.08,2.15,37.63,48.39,2.15,1.08,5.38,1.08,1.08,0,0
2.2,1.1,38.46,49.45,1.1,1.1,4.4,1.1,1.1,0,0
2.14,1.07,37.43,48.13,1.07,2.14,5.35,2.14,0.53,0,0
1.06,2.13,37.23,47.87,1.06,2.13,4.26,2.13,2.13,0,0
2.11,2.11,36.84,47.37,1.05,2.11,4.21,2.11,2.11,0,0
1.98,1.98,39.6,44.55,1.98,1.98,3.96,1.98,1.98,0,0
2.0,2.0,40.0,45.0,1.0,2.0,4.0,2.0,2.0,0,0
2.27,2.27,28.41,56.82,1.14,2.27,3.41,1.14,2.27,0,0
1.18,1.18,29.59,59.17,1.18,2.37,2.37,2.37,0.59,0,0
1.18,1.18,29.59,59.17,2.37,1.18,3.55,1.18,0.59,0,0
2.2,2.2,27.47,54.95,2.2,2.2,4.4,2.2,2.2,0,0
1.14,2.27,28.41,56.82,2.27,1.14,5.68,1.14,1.14,0,0
2.33,1.16,29.07,58.14,1.16,1.16,4.65,1.16,1.16,0,0
2.26,1.13,28.25,56.5,1.13,2.26,5.65,2.26,0.56,0,0
1.12,2.25,28.09,56.18,1.12,2.25,4.49,2.25,2.25,0,0
2.33,1.16,29.07,58.14,1.16,1.16,2.33,2.33,2.33,0,0
2.22,2.22,27.78,55.56,1.11,2.22,4.44,2.22,2.22,0,0
2.15,2.15,32.26,53.76,1.08,2.15,3.23,1.08,2.15,0,0
1.12,1.12,33.52,55.87,2.23,1.12,3.35,1.12,0.56,0,0
2.08,2.08,31.25,52.08,2.08,2.08,4.17,2.08,2.08,0,0
1.08,2.15,32.26,53.76,2.15,1.08,5.38,1.08,1.08,0,0
2.2,1.1,32.97,54.95,1.1,1.1,4.4,1.1,1.1,0,0
2.14,1.07,32.09,53.48,1.07,2.14,5.35,2.14,0.53,0,0
1.06,2.13,31.91,53.19,1.06,2.13,4.26,2.13,2.13,0,0
2.2,1.1,32.97,54.95,1.1,1.1,2.2,2.2,2.2,0,0
2.11,2.11,31.58,52.63,1.05,2.11,4.21,2.11,2.11,0,0
2.04,2.04,35.71,51.02,1.02,2.04,3.06,1.02,2.04,0,0
1.98,1.98,34.65,49.5,1.98,1.98,3.96,1.98,1.98,0,0
1.02,2.04,35.71,51.02,2.04,1.02,5.1,1.02,1.02,0,0
2.08,1.04,36.46,52.08,1.04,1.04,4.17,1.04,1.04,0,0
2.03,1.02,35.53,50.76,1.02,2.03,5.08,2.03,0.51,0,0
1.01,2.02,35.35,50.51,1.01,2.02,4.04,2.02,2.02,0,0
2.0,2.0,35.0,50.0,1.0,2.0,4.0,2.0,2.0,0,0
1.94,1.94,38.83,48.54,0.97,1.94,2.91,0.97,1.94,0,0
1.89,1.89,37.74,47.17,1.89,1.89,3.77,1.89,1.89,0,0
0.97,1.94,38.83,48.54,1.94,0.97,4.85,0.97,0.97,0,0
1.98,0.99,39.6,49.5,0.99,0.99,3.96,0.99,0.99,0,0
1.93,0.97,38.65,48.31,0.97,1.93,4.83,1.93,0.48,0,0
0.96,1.92,38.46,48.08,0.96,1.92,3.85,1.92,1.92,0,0
1.9,1.9,38.1,47.62,0.95,1.9,3.81,1.9,1.9,0,0
